date;EBEV_GWh;Dadj_GWh
28/09/2011;0.000353;0.000429
29/09/2011;0.000302;0.000368
30/09/2011;0.000454;0.000552
01/10/2011;0.000151;0.000184
02/10/2011;0.000151;0.000184
03/10/2011;0.000202;0.000245
04/10/2011;0.000252;0.000307
05/10/2011;0.000252;0.000307
06/10/2011;0.000353;0.000429
08/10/2011;0.000202;0.000245
09/10/2011;0.000151;0.000184
10/10/2011;0.000353;0.000429
11/10/2011;0.000353;0.000429
12/10/2011;0.000454;0.000552
14/10/2011;0.000202;0.000245
15/10/2011;0.000151;0.000184
16/10/2011;0.000101;0.000123
17/10/2011;0.000302;0.000368
18/10/2011;0.000454;0.000552
19/10/2011;0.000353;0.000429
20/10/2011;0.000353;0.000429
21/10/2011;0.000302;0.000368
22/10/2011;0.000101;0.000123
23/10/2011;0.000202;0.000245
24/10/2011;0.000302;0.000368
25/10/2011;0.000252;0.000307
26/10/2011;0.000403;0.000491
28/10/2011;0.000403;0.000491
29/10/2011;0.000202;0.000245
30/10/2011;0.000101;0.000123
31/10/2011;0.000302;0.000368
01/11/2011;0.000252;0.000307
02/11/2011;0.000302;0.000368
03/11/2011;0.000302;0.000368
04/11/2011;0.000252;0.000307
05/11/2011;0.000151;0.000184
06/11/2011;0.000151;0.000184
07/11/2011;0.000454;0.000552
08/11/2011;0.000403;0.000491
09/11/2011;0.000353;0.000429
10/11/2011;0.000202;0.000245
11/11/2011;0.000403;0.000491
12/11/2011;0.000252;0.000307
13/11/2011;0.000151;0.000184
14/11/2011;0.000504;0.000613
15/11/2011;0.000454;0.000552
16/11/2011;0.000252;0.000307
17/11/2011;0.000202;0.000245
18/11/2011;0.000202;0.000245
19/11/2011;0.000151;0.000184
20/11/2011;0.000202;0.000245
21/11/2011;0.000202;0.000245
22/11/2011;0.000353;0.000429
23/11/2011;0.000454;0.000552
24/11/2011;0.000353;0.000429
25/11/2011;0.000454;0.000552
26/11/2011;0.000151;0.000184
27/11/2011;0.000151;0.000184
